gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,51,1,2,0,0,0,0,2,2,2,2,1,0,75.2,3901.25,0
0,0,0,0,11,1,0,0,2,0,0,2,0,0,1,1,3,54.6,617.85,0
0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,0,20.1,318.6,0
0,0,0,0,34,1,2,0,0,0,0,2,2,0,0,0,3,65.0,2157.5,0
0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,107.55,4533.9,1
1,0,1,0,25,0,1,0,0,0,2,0,2,0,1,1,1,38.1,970.4,0
1,0,0,1,43,0,1,0,2,2,2,0,0,0,0,1,2,40.45,1912.85,0
0,0,0,0,18,0,1,0,0,0,2,2,0,0,0,1,2,35.2,607.3,0
1,0,0,0,35,1,2,2,1,1,1,1,1,1,0,1,2,25.6,901.25,0
0,0,1,0,41,1,0,1,0,2,2,2,0,0,1,1,0,86.2,3339.05,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.85,70.85,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.1,70.1,0
0,0,0,1,15,1,0,0,2,2,2,2,0,0,1,0,1,65.6,1010.0,0
1,0,0,0,29,0,1,0,0,2,0,2,0,0,0,0,2,34.3,1004.75,0
1,0,0,0,25,1,0,2,1,1,1,1,1,1,0,1,3,20.15,536.35,0
0,0,0,0,7,1,2,1,2,0,0,0,0,0,0,1,3,79.65,604.7,1
0,1,0,0,5,1,0,1,0,2,0,0,2,0,0,1,2,84.7,392.5,0
0,0,1,1,48,0,1,0,2,0,2,0,0,2,1,0,1,45.0,2196.3,0
1,1,1,0,72,1,2,1,2,2,2,0,2,2,2,1,0,109.55,7920.7,0
1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.0,94.0,1
1,0,1,0,33,1,2,1,0,2,2,0,0,2,0,1,2,93.35,3092.0,0
0,1,0,0,14,0,1,0,0,0,0,0,2,2,0,1,2,46.35,672.7,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,19.65,169.75,0
1,0,0,0,17,1,2,1,0,0,2,2,0,0,1,0,2,86.75,1410.25,0
0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,0
0,1,1,0,37,1,0,1,0,0,2,2,2,0,0,0,2,90.0,3371.75,0
0,1,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.55,2264.05,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,24.45,24.45,1
1,0,1,1,33,1,0,0,0,2,2,2,2,2,2,0,1,82.1,2603.1,0
1,0,1,1,49,0,1,0,0,2,0,0,2,2,1,1,0,51.8,2541.25,1
1,0,1,1,56,1,0,0,2,2,2,0,0,0,2,1,0,59.8,3457.45,0
1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.05,42.7,0
1,0,0,1,14,1,0,0,2,2,2,2,0,2,2,0,0,76.1,1054.8,0
1,0,0,0,19,1,0,0,0,0,2,2,0,0,0,1,1,55.0,1046.5,1
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,3,79.65,152.7,1
1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,1,3,91.25,6589.6,0
0,0,0,0,28,1,2,1,0,2,0,0,0,2,0,1,2,89.95,2625.55,1
0,1,0,0,45,1,0,1,2,2,0,2,0,0,0,1,0,85.7,3778.1,0
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.65,79.65,1
0,0,0,0,41,1,2,0,0,0,2,2,0,2,1,1,2,68.6,2877.05,0
0,0,1,1,58,1,2,1,2,2,0,0,0,2,0,1,0,93.4,5435.6,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0
1,1,0,0,4,1,0,1,0,0,2,0,2,2,0,1,2,94.75,422.4,0
0,0,0,0,13,0,1,0,0,0,2,2,0,0,2,0,3,35.4,450.4,0
0,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,0,25.65,1887.0,0
0,0,0,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.15,2494.65,0
0,0,0,0,46,1,2,1,2,2,0,0,0,0,0,0,3,84.25,3847.6,0
1,0,0,0,53,1,0,0,0,0,2,0,0,2,1,1,2,61.1,3357.9,0
0,0,0,0,25,1,2,2,1,1,1,1,1,1,2,0,1,24.75,692.1,1
0,1,0,0,5,1,0,1,0,0,2,0,2,0,0,1,3,84.85,415.55,1
1,1,0,0,5,1,2,1,0,2,0,0,0,2,0,1,2,89.8,502.6,1
1,0,1,1,46,1,0,2,1,1,1,1,1,1,1,1,0,20.2,845.6,0
1,0,1,1,50,0,1,0,2,0,0,0,2,0,0,1,1,39.45,2021.35,0
1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,104.8,7470.1,0
0,0,1,1,70,1,2,0,2,0,0,2,2,2,2,1,0,80.6,5460.2,0
0,1,0,0,53,1,0,1,2,2,0,2,0,2,1,1,3,96.75,5206.55,0
1,0,1,0,29,1,0,1,0,0,2,0,0,0,0,1,1,75.3,2263.4,0
0,0,1,1,40,1,0,2,1,1,1,1,1,1,2,0,0,20.15,777.35,0
1,1,1,0,43,1,2,1,0,2,2,0,2,2,0,1,2,103.0,4414.3,1
0,1,1,0,13,1,0,1,0,0,0,0,0,0,0,1,2,70.15,916.75,1
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,0
0,0,0,1,4,1,0,2,1,1,1,1,1,1,1,1,3,20.4,84.75,0
0,0,1,0,3,1,2,1,0,0,0,0,2,2,0,1,2,95.2,292.85,1
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.1,25.1,1
0,1,0,0,35,1,2,1,2,2,2,2,2,2,1,1,0,110.8,3836.3,0
0,1,0,0,66,1,2,1,2,0,0,0,2,2,2,1,0,102.4,6471.85,0
1,0,0,0,6,1,0,0,0,0,2,0,2,0,0,0,3,60.9,414.1,0
0,0,1,0,9,1,0,1,0,0,2,0,0,0,0,1,0,75.75,655.9,1
1,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,1,83.55,6093.3,0
1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,3,44.95,431.0,1
0,0,1,0,16,1,2,1,0,0,0,0,2,0,0,1,2,84.95,1378.25,1
1,0,1,1,56,0,1,0,0,2,2,0,0,0,1,1,1,36.1,1971.5,0
1,1,1,1,66,1,2,1,2,2,2,2,2,2,1,1,2,116.25,7862.25,0
0,0,0,1,31,1,0,2,1,1,1,1,1,1,1,0,1,20.1,589.25,0
0,1,0,0,27,1,2,1,2,2,2,0,2,2,1,1,0,110.5,2857.6,0
1,0,1,0,21,1,2,1,0,0,2,2,2,2,0,1,2,106.1,2249.95,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,47.95,47.95,0
1,0,0,1,45,1,2,1,0,0,2,0,2,2,2,0,0,99.7,4634.35,0
1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,25.15,331.85,0
0,1,0,0,5,1,0,1,2,2,0,0,0,0,0,0,2,80.7,374.8,0
0,0,0,0,4,1,0,1,2,0,2,2,0,2,0,1,0,94.4,387.2,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,0,0,20.25,327.45,1
0,0,0,0,28,0,1,0,0,0,2,2,0,0,0,1,3,35.75,961.4,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,0,1,3,19.35,152.6,0
0,1,0,0,66,1,2,0,2,2,0,2,0,0,1,1,1,63.85,4174.35,0
1,0,0,0,44,1,2,1,0,0,2,0,0,2,0,1,3,90.4,4063.0,0
0,0,1,0,35,1,0,1,0,0,0,0,0,0,0,1,2,70.3,2416.55,1
0,1,1,1,46,1,2,1,2,2,0,2,2,2,0,1,2,110.2,4972.1,0
0,0,1,0,68,1,2,0,2,2,2,2,2,2,2,1,2,91.7,6424.7,0
1,0,0,0,65,1,2,1,2,0,2,2,2,2,1,1,1,110.0,7138.65,0
0,0,1,1,8,1,0,2,1,1,1,1,1,1,2,1,3,19.85,146.6,0
0,0,1,0,19,1,0,1,0,0,2,0,2,2,0,1,2,96.8,1743.05,0
0,0,1,1,64,1,2,1,0,2,2,2,2,2,1,1,2,111.45,7266.95,0
1,0,0,0,15,1,2,2,1,1,1,1,1,1,0,1,2,26.35,378.6,0
1,1,1,0,50,1,2,1,2,2,2,0,2,0,1,1,0,101.9,5265.5,0
1,1,1,0,6,1,0,1,0,2,0,0,0,2,0,1,2,84.2,519.15,1
1,0,1,0,42,1,2,0,2,0,0,2,2,2,1,0,1,80.45,3375.9,0
0,1,0,0,7,1,0,0,0,2,0,0,0,0,0,1,3,51.3,419.35,0
1,1,1,0,51,0,1,0,0,2,0,0,0,0,0,1,1,29.45,1459.35,0
0,0,1,1,34,1,2,1,0,0,2,0,2,0,0,0,2,87.45,2874.15,1
1,0,0,0,19,1,0,1,0,2,0,0,0,0,0,1,1,73.85,1424.5,1
0,0,1,1,56,1,0,2,1,1,1,1,1,1,2,1,1,19.8,1119.9,0
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1
0,1,0,0,71,1,2,1,2,2,0,2,2,0,1,1,1,99.65,7181.25,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.05,70.05,1
1,0,1,1,12,1,0,2,1,1,1,1,1,1,0,1,2,19.2,239.0,0
1,1,1,1,71,1,0,2,1,1,1,1,1,1,2,0,1,19.8,1388.45,0
0,0,0,1,11,0,1,0,2,0,0,2,0,0,1,1,3,36.05,402.6,0
0,1,0,0,6,0,1,0,0,0,0,0,2,2,0,1,2,44.4,263.05,0
1,0,1,1,46,1,0,0,2,0,2,2,0,0,1,0,3,56.9,2560.1,0
0,1,1,0,53,1,2,2,1,1,1,1,1,1,2,0,1,25.1,1275.6,0
0,0,1,0,55,1,2,1,0,2,0,0,0,0,0,1,1,77.75,4266.4,0
1,0,0,0,30,1,0,1,2,2,2,0,0,0,0,1,1,84.3,2438.6,0
1,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,3,71.45,371.6,0
0,0,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,91.1,455.3,1
1,1,0,0,4,0,1,0,0,2,0,0,2,2,0,1,1,50.95,207.35,0
1,0,1,0,42,1,2,0,2,0,0,0,0,0,1,0,1,56.1,2386.85,0
0,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,2,89.55,2259.35,0
0,0,0,0,37,0,1,0,0,0,0,2,0,0,0,0,1,28.6,973.55,1
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,116.4,8543.25,0
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,55.0,1
0,0,1,1,3,1,2,1,0,0,0,0,0,2,0,1,0,84.75,264.85,1
0,0,0,0,46,1,0,2,1,1,1,1,1,1,2,1,2,21.1,937.1,0
0,1,1,1,23,1,0,1,0,2,2,0,0,2,0,1,0,88.45,2130.55,0
1,1,1,0,70,1,0,1,2,2,2,0,2,2,2,0,1,105.35,7511.9,0
1,0,0,1,1,1,0,0,0,0,0,2,0,2,0,1,3,59.55,59.55,0
0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,1,19.9,1397.3,0
1,0,0,0,2,1,0,1,0,0,2,0,2,2,0,0,2,94.95,178.1,1
0,0,0,0,25,1,2,0,2,2,2,2,2,0,0,1,0,78.35,1837.9,0
0,0,0,0,25,1,0,1,0,2,2,0,2,2,0,1,2,99.5,2369.05,1
0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,30.5,30.5,1
1,0,0,0,30,1,0,1,0,0,0,0,2,2,0,1,2,90.25,2755.35,1
1,1,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,101.0,4680.05,1
1,0,1,0,66,1,2,1,0,2,2,0,0,2,1,0,2,95.3,6273.4,0
1,1,0,0,41,1,2,1,0,0,2,0,2,2,0,1,2,98.4,4187.75,1
1,0,0,0,7,1,0,0,2,0,0,0,0,0,0,1,3,51.0,354.05,1
0,0,1,1,43,1,2,1,0,0,2,0,0,2,0,1,0,92.55,4039.0,0
1,1,0,0,39,1,2,1,0,2,0,0,0,2,0,0,2,90.7,3413.25,0
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,208.85,1
0,0,0,0,15,1,2,2,1,1,1,1,1,1,0,1,1,25.4,399.6,1
1,0,0,0,23,1,0,1,0,2,0,0,2,2,0,0,3,95.3,2192.9,0
1,0,1,1,60,1,2,1,2,0,2,0,2,0,1,1,0,95.4,5812.0,0
1,0,0,1,27,1,0,2,1,1,1,1,1,1,0,0,3,19.15,537.35,0
0,0,1,0,12,1,0,0,2,0,0,2,0,0,0,0,0,54.2,690.5,0
0,0,1,0,65,1,0,0,0,0,0,2,2,0,2,1,1,59.8,3808.2,0
1,0,0,0,28,1,2,1,2,2,0,0,0,2,0,1,1,94.5,2659.4,1
1,0,1,1,26,1,2,0,0,0,2,2,2,2,1,1,1,82.0,2083.1,0
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,45.85,105.6,0
1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,3,45.15,438.4,1
0,0,1,1,26,1,0,2,1,1,1,1,1,1,2,0,1,19.65,494.9,0
0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,0
1,1,1,0,24,0,1,0,0,0,2,2,0,0,0,0,3,34.25,828.2,0
0,0,0,0,34,1,0,1,0,0,0,0,0,0,0,1,1,70.0,2416.1,1
0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,1,1,25.1,712.85,1
1,0,0,0,3,1,0,1,0,2,2,2,2,2,0,1,2,107.95,318.6,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.65,19.65,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1
0,0,1,0,25,1,0,2,1,1,1,1,1,1,1,1,0,20.2,507.9,0
0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.3,153.8,0
1,0,1,1,4,1,0,2,1,1,1,1,1,1,0,1,3,20.5,77.6,0
0,1,0,0,59,1,2,1,0,0,2,0,2,2,1,1,2,99.5,5890.0,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75,0
0,0,1,1,60,1,0,0,0,2,2,2,2,2,2,1,0,80.6,4946.7,0
1,0,0,0,59,1,0,0,0,0,2,2,2,0,0,1,2,64.65,3735.45,0
1,0,1,1,9,1,2,1,0,0,2,0,2,0,1,1,2,90.35,767.9,0
0,0,1,1,32,0,1,0,2,2,0,0,0,0,0,1,2,35.15,1051.05,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25.25,25.25,0
1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,3,19.8,1396.25,0
0,0,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,94.2,1046.1,1
1,0,1,1,6,1,2,2,1,1,1,1,1,1,2,0,3,25.4,153.3,0
1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,35.5,249.55,0
1,0,0,0,33,1,2,0,0,2,0,0,0,0,0,1,0,54.65,1665.2,0
1,0,1,1,56,1,2,2,1,1,1,1,1,1,1,1,3,24.45,1431.65,0
0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,29.45,161.45,0
0,1,0,0,8,1,2,1,0,0,2,0,2,2,0,0,2,101.35,780.5,1
0,0,0,0,66,1,2,1,0,2,0,0,2,0,1,1,0,88.9,6000.1,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,322.9,0
1,0,1,0,66,1,2,1,2,2,2,2,2,2,1,0,0,115.8,7942.15,0
0,0,1,0,15,1,0,1,0,0,0,0,2,2,0,0,2,88.15,1390.6,1
0,0,1,1,64,1,0,0,2,0,0,2,2,0,1,0,3,65.8,4068.0,0
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,1,24.8,1874.3,0
1,1,1,0,29,1,2,1,0,0,2,0,2,2,0,1,2,98.5,3004.15,1
0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,1,2,44.05,483.7,1
0,0,1,0,49,1,2,1,2,0,0,0,2,2,0,1,3,100.85,4847.35,0
0,1,1,0,70,1,2,0,2,2,2,2,2,2,2,1,0,92.2,6474.45,0
1,0,1,1,65,1,0,2,1,1,1,1,1,1,2,1,1,19.85,1267.05,0
1,0,1,0,72,1,2,0,2,2,2,2,0,2,2,1,0,82.3,5980.55,0
1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,50.4,137.25,0
0,0,1,0,46,1,2,1,0,2,0,2,2,2,1,1,2,103.15,4594.65,0
0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.1,39.8,0
0,0,0,0,70,1,2,0,2,2,2,2,2,2,2,0,1,89.75,6367.2,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,69.35,1
1,0,0,0,29,1,0,2,1,1,1,1,1,1,1,1,3,19.8,572.2,0
1,0,1,0,21,1,0,0,0,0,0,0,2,0,0,0,0,54.6,1125.2,0
0,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,3,44.9,839.65,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.95,69.95,1
1,1,0,0,34,1,0,1,0,0,0,0,0,0,0,0,1,69.15,2275.1,0
0,0,0,0,5,1,0,1,0,0,0,0,2,0,0,0,2,80.2,384.25,0
0,0,0,0,38,1,2,2,1,1,1,1,1,1,1,1,2,24.25,914.4,0
0,0,0,0,70,1,0,2,1,1,1,1,1,1,1,0,0,19.7,1341.5,0
0,0,1,0,27,1,0,1,0,2,0,0,0,0,0,1,2,76.1,2093.4,0
0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,78.65,78.65,1
0,0,0,0,26,1,0,1,0,0,0,0,2,2,0,1,0,88.8,2274.35,1
1,1,0,0,13,1,0,0,0,2,0,0,2,0,0,1,2,59.9,788.35,0
1,1,1,0,60,1,2,1,0,2,2,0,2,2,1,1,2,104.35,6339.45,0
1,0,0,0,39,1,2,1,0,0,0,0,0,0,0,0,2,75.25,3017.65,1
0,0,0,0,64,1,2,2,1,1,1,1,1,1,1,1,0,24.4,1601.2,0
0,0,0,0,63,1,2,0,2,2,2,2,0,2,2,1,1,80.3,4995.35,0
0,0,1,0,25,1,0,1,0,0,0,2,2,2,0,1,2,95.15,2395.7,0
1,0,1,0,68,1,2,0,2,2,2,2,2,2,2,1,1,90.8,6302.85,0
1,0,1,0,8,1,0,0,0,2,2,0,0,0,0,1,3,54.75,445.85,0
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,0,117.6,8308.9,0
1,0,0,0,15,1,2,1,2,0,0,0,2,2,0,1,2,99.7,1566.75,0
1,0,0,0,42,1,0,2,1,1,1,1,1,1,1,0,0,19.8,849.9,0
0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,1,34.8,113.95,0
1,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,3,44.0,659.35,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,24.4,24.4,0
1,0,1,0,12,1,0,0,0,0,2,2,2,2,0,1,2,74.15,741.4,0
1,0,0,0,44,1,0,2,1,1,1,1,1,1,2,0,1,20.4,905.55,0
0,0,1,1,26,0,1,0,2,2,0,2,0,0,0,0,1,38.85,1025.15,0
0,0,0,0,13,1,2,1,2,0,0,0,2,2,0,1,2,100.35,1358.85,1
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0
0,0,1,1,45,1,2,1,2,2,0,0,2,2,0,1,2,105.15,4730.9,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,1
0,0,1,0,67,1,2,0,2,2,2,0,0,2,1,0,3,75.1,5064.45,0
1,0,1,1,43,1,0,2,1,1,1,1,1,1,1,1,3,19.2,776.25,0
0,0,1,1,59,1,2,1,0,2,2,0,2,2,1,1,2,106.15,6256.2,0
0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,95.15,1789.25,1
0,0,0,0,41,1,2,1,0,0,2,0,2,2,0,0,0,98.05,3990.6,0
0,0,0,0,40,0,1,0,2,0,0,2,2,2,1,1,0,54.55,2236.2,0
0,0,0,0,5,1,2,1,0,0,2,2,0,0,0,1,2,82.75,417.75,0
0,0,0,1,4,1,2,1,0,2,2,0,0,0,0,0,0,84.05,333.55,1
0,1,0,0,63,1,2,0,2,2,2,2,2,0,1,0,0,83.0,5243.05,0
1,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,3,25.0,25.0,0
1,0,0,0,43,1,2,1,0,0,0,2,2,2,1,1,2,100.0,4211.55,1
1,0,1,1,31,1,2,1,2,0,2,0,2,0,1,0,0,98.05,3082.1,0
0,0,1,1,59,1,2,0,2,0,2,2,2,0,2,1,3,76.45,4519.5,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.25,19.25,1
0,0,1,1,55,1,0,1,0,0,0,0,0,0,2,1,1,69.05,3842.6,0
0,0,1,0,60,0,1,0,2,2,2,0,0,2,1,0,2,50.05,2911.5,0
0,1,0,0,18,1,0,2,1,1,1,1,1,1,1,0,0,20.35,369.6,0
1,0,0,1,7,1,0,2,1,1,1,1,1,1,1,0,3,19.45,136.75,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1
0,0,0,1,48,1,0,2,1,1,1,1,1,1,1,0,3,19.95,936.7,0
0,0,0,0,72,1,0,1,2,2,2,2,2,2,2,1,2,109.9,7624.2,0
1,0,1,1,17,1,2,0,0,2,2,2,0,0,0,1,3,66.7,1077.05,0
1,0,1,1,2,1,0,1,0,0,2,2,0,2,0,0,1,90.0,190.05,1
1,0,0,0,54,1,2,0,2,0,2,2,2,2,2,0,0,87.1,4735.2,0
1,0,0,0,65,1,2,1,0,2,2,2,2,2,0,1,2,109.15,6941.2,1
1,1,0,0,7,0,1,0,0,2,0,2,0,2,0,1,2,44.4,265.8,0
1,0,0,0,63,1,2,0,2,0,2,2,0,2,2,1,0,71.9,4479.2,0
0,0,0,0,51,0,1,0,0,2,2,0,2,2,1,1,1,56.4,2928.5,0
0,0,1,1,15,1,0,2,1,1,1,1,1,1,1,0,1,20.35,335.95,0
0,0,1,1,51,1,2,1,2,0,0,2,2,0,1,1,3,95.15,5000.05,0
0,0,1,1,23,1,0,0,2,2,0,2,0,0,1,1,3,57.75,1282.85,0
1,0,1,0,32,1,2,1,0,0,0,2,0,0,1,1,2,79.25,2619.15,0
0,0,1,0,58,1,2,1,0,0,2,2,2,2,0,1,1,102.1,5885.4,1
1,0,0,0,42,1,2,2,1,1,1,1,1,1,1,0,2,25.05,949.85,0
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,1,3,20.5,104.3,0
0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,1,2,49.8,1049.05,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,3,89.4,6376.55,0
1,0,0,0,33,1,2,1,2,0,0,0,0,0,1,0,0,80.1,2603.3,0
1,0,1,0,32,1,0,0,2,2,0,2,0,2,1,0,3,70.5,2201.75,0
1,0,0,0,19,1,0,1,0,0,0,2,0,2,1,1,1,87.7,1725.95,0
0,0,1,1,49,1,2,1,0,2,0,0,2,2,0,1,2,98.35,4889.2,0
0,0,0,1,18,1,2,2,1,1,1,1,1,1,2,0,1,25.3,454.65,0
0,0,1,1,55,1,0,2,1,1,1,1,1,1,0,0,1,20.0,1087.25,0
0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.6,299.4,0
0,0,1,1,41,0,1,0,2,0,2,0,0,0,1,0,1,35.4,1412.4,0
0,0,0,0,52,1,2,1,0,2,0,0,0,0,1,1,3,80.2,4297.6,0
1,0,1,0,53,1,0,1,0,2,0,0,2,2,1,1,0,94.25,4867.95,1
0,0,1,1,26,1,2,0,0,2,0,2,0,0,0,1,2,60.05,1616.15,1
0,0,0,0,28,1,0,0,2,0,0,2,0,0,1,0,3,54.3,1546.3,0
0,1,1,0,50,1,2,2,1,1,1,1,1,1,1,0,2,25.2,1306.3,0
0,0,0,0,14,1,0,0,0,0,0,2,2,2,0,1,2,69.65,921.4,0
1,0,1,1,45,1,2,0,0,2,2,0,2,2,1,0,1,78.75,3600.65,0
0,0,1,1,69,0,1,0,2,0,2,0,0,2,2,1,1,43.95,2960.1,0
0,0,1,1,51,1,0,1,2,2,0,0,0,0,0,1,0,79.15,4018.55,0
